Date,Price ($),Wallets in Profit,Total Wallets,% In Profit
2025-07-10,55.2553,28,354,7.91
2025-07-11,59.6559,50,354,14.12
2025-07-12,59.2175,45,354,12.71
2025-07-13,53.3285,18,354,5.08
2025-07-14,53.2979,18,354,5.08
2025-07-15,55.8133,29,354,8.19
2025-07-16,62.2609,56,354,15.82
